Series,Week,Player,Score,Points,Rank,Points without double points Friday,Score if double score Friday,Rank without double points Friday,Rank based on Score,Rank if Double Score Friday,Change in winner with no double points Friday?,Change in winner based on Score?,Change in winner if Double Score Friday?
1,1,Nish Kumar,51,23,1,19.0,59,1,1,1,False,False,False
1,1,Al Murray,47,17,2,15.0,53,2,2,2,False,False,False
1,1,Clara Amfo,36,13,3,10.0,44,3,3,3,False,False,False
1,1,Anneka Rice,25,7,4,6.0,29,4,4,4,False,False,False
1,2,Rick Edwards,47,21,1,17.0,58,1,1,1,False,False,False
1,2,Sara Pascoe,40,20,2,17.0,47,1,2,2,True,False,False
1,2,Clive Myrie,20,12,3,10.0,24,3,3,3,False,False,False
1,2,Angela Scanlon,18,10,4,9.0,19,4,4,4,False,False,False
1,3,Jamie Theakston,55,19,1,16.0,62,1,1,1,False,False,False
1,3,Anita Rani,36,17,2,13.0,45,2,3,2,False,True,False
1,3,Chris Ramsey,40,14,3,13.0,44,2,2,3,True,True,False
1,3,Janet Ellis,25,12,4,10.0,30,4,4,4,False,False,False
2,1,Naga Munchetty,43,21,1,17.0,55,1,1,1,False,False,False
2,1,Jordan Stephens,30,15,2,12.0,37,2,4,3,False,True,True
2,1,Sally Lindsay,32,14,3,12.0,38,2,2,2,True,True,True
2,1,David O'Doherty,31,12,4,11.0,36,4,3,4,False,True,False
2,2,Steve Pemberton,60,22,1,19.0,68,1,1,1,False,False,False
2,2,Ellie Taylor,37,16,2,12.0,46,3,3,3,True,True,True
2,2,Josh Widdicombe,45,15,3,13.0,52,2,2,2,True,True,True
2,2,Fern Britton,25,7,4,6.0,30,4,4,4,False,False,False
2,3,Amanda Abbington,38,20,1,16.0,48,1,2,2,False,True,True
2,3,Elis James,40,18,2,15.0,49,2,1,1,False,True,True
2,3,Shappi Khorsandi,22,13,3,11.0,28,3,3,3,False,False,False
2,3,Michael Buerk,21,12,4,11.0,24,3,4,4,True,False,False
2,4,Hugh Dennis,52,20,1,16.0,63,1,1,1,False,False,False
2,4,Beattie Edmondson,41,17,2,14.0,51,2,2,2,False,False,False
2,4,Gaby Roslin,32,15,3,13.0,42,3,4,3,False,True,False
2,4,Amol Rajan,33,12,4,11.0,39,4,3,4,False,True,False
2,5,Charlie Higson,48,18,1,15.0,57,1,1,1,False,False,False
2,5,Kate Williams,42,15,2,11.0,55,4,2,2,True,False,False
2,5,Chizzy Akudolu,34,14,3,12.0,39,2,4,4,True,True,True
2,5,Tom Allen,40,13,4,12.0,44,2,3,3,True,True,True
2,6,Richard Herring,50,22,1,18.0,62,1,1,1,False,False,False
2,6,Katie Derham,44,17,2,14.0,55,2,2,2,False,False,False
2,6,Rachel Riley,35,13,3,11.0,42,3,3,3,False,False,False
2,6,JB Gill,20,9,4,8.0,23,4,4,4,False,False,False
2,7,Miles Jupp,50,22,1,18.0,62,1,1,1,False,False,False
2,7,Dan Walker,39,18,2,15.0,47,2,2,2,False,False,False
2,7,Lolly Adefope,35,14,3,12.0,42,3,3,3,False,False,False
2,7,Sarah Greene,34,11,4,10.0,39,4,4,4,False,False,False
2,8,James Acaster,43,21,1,18.0,50,1,1,1,False,False,False
2,8,Anne Diamond,36,20,2,16.0,44,2,2,2,False,False,False
2,8,Rory Reid,26,15,3,13.0,33,3,3,3,False,False,False
2,8,Samantha Womack,24,8,4,7.0,30,4,4,4,False,False,False
2,9,Matt Allwright,56,21,1,17.0,72,1,1,1,False,False,False
2,9,Kelly Cates,52,20,2,17.0,62,1,2,2,True,False,False
2,9,Desiree Burch,29,11,3,9.0,37,3,3,3,False,False,False
2,9,Tyger Drew-Honey,22,9,4,8.0,25,4,4,4,False,False,False
2,10,Dane Baptiste,50,22,1,18.0,62,1,1,1,False,False,False
2,10,Nick Owen,35,16,2,14.0,42,2,2,3,False,False,True
2,10,Susie Dent,35,15,3,12.0,46,3,2,2,False,True,True
2,10,Chemmy Alcott,17,8,4,7.0,22,4,4,4,False,False,False
3,1,Ed Gamble,63,23,1,19.0,75,1,1,1,False,False,False
3,1,Ade Edmondson,46,18,2,15.0,55,2,2,2,False,False,False
3,1,Miquita Oliver,20,10,3,9.0,24,3,3,3,False,False,False
3,1,Kate Thornton,18,9,4,7.0,24,4,4,3,False,False,True
3,2,Scarlett Moffatt,31,19,1,15.0,42,1,1,1,False,False,False
3,2,Gyles Brandreth,31,16,2,14.0,40,2,1,3,False,True,True
3,2,Iain Stirling,31,16,2,13.0,41,3,1,2,True,True,False
3,2,Angellica Bell,29,12,4,11.0,37,4,4,4,False,False,False
3,3,Phill Jupitus,57,22,1,19.0,66,1,1,1,False,False,False
3,3,Ivo Graham,46,20,2,16.0,56,2,2,2,False,False,False
